,tweet_id,handle,retweet_count,text,mined_at,created_at
38,1519208716700160000,The Bridge,1,RT @burn_es: Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,2022-07-13 14:10:58.629370,Wed Apr 27 06:55:58 +0000 2022
39,1519208638136602626,The Bridge,1,@burn_es Prueba de ello 📸🔥 https://t.co/7SWL2ionj3,2022-07-13 14:10:58.629370,Wed Apr 27 06:55:39 +0000 2022
40,1518607234976161792,The Bridge,0,Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de… https://t.co/vvLXK24Jc5,2022-07-13 14:10:58.629370,Mon Apr 25 15:05:53 +0000 2022
41,1518529871969988608,The Bridge,0,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras… https://t.co/2KF6TsistY",2022-07-13 14:10:58.629370,Mon Apr 25 09:58:29 +0000 2022
42,1517405300504018944,The Bridge,8,"RT @MujeresaSeguir: 🚀Mañana celebramos la segunda sesión del ciclo #ConversacionesPorLaIgualdad

📢#MujerYTecnología: una jornada para reivi…",2022-07-13 14:10:58.629370,Fri Apr 22 07:29:50 +0000 2022
43,1517147713254526978,The Bridge,0,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de ab… https://t.co/AdgkHbhPxf",2022-07-13 14:10:58.629370,Thu Apr 21 14:26:16 +0000 2022
44,1517111329374543873,The Bridge,0,¡Gracias a vosotros! https://t.co/g7otWL5xbs,2022-07-13 14:10:58.629370,Thu Apr 21 12:01:42 +0000 2022
45,1516687246241550337,The Bridge,0,"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio e… https://t.co/KD2AbxvT32",2022-07-13 14:10:58.629370,Wed Apr 20 07:56:32 +0000 2022
46,1516440085486575617,The Bridge,0,"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se… https://t.co/Npe0b60RXb",2022-07-13 14:10:58.629370,Tue Apr 19 15:34:25 +0000 2022
47,1516391947337936908,The Bridge,3,"RT @MujeresaSeguir: 💥Este viernes tendrá lugar la segunda sesión nuestro ciclo #ConversacionesPorLaIgualdad

📢 #MujerYTecnología: una jorna…",2022-07-13 14:10:58.629370,Tue Apr 19 12:23:08 +0000 2022
